Regular Hero	Обычный герой
I can change, I swear.	Я могу измениться, клянусь.
Bulging box!	Пузатый ящик!
Ex-Bearded Lady	Экс-бородатая дама
"What's wrong with me!?"	"Что со мной не так!?"
It wasnвЂ™t meant to be...	Так не должно было быть...
It's just business.	Это просто дело.
No!	Нет!
Back I come.	Я снова тут.
My mana!	Моя мана!
Lovely lava!	Прелестная лава!
Nice and bright!	Так светло!
Limbs...growing heavy...	Конечности...тяжелеют...
I need forty winks.	Мне надо вздремнуть.
Where'd you go?	Куда ты делся?
Record my progress.	Запиши мой прогресс.
Serial Self-Doubter	Серийный сомневающийся
"Is this the career for me!?"	"Это карьера для меня!?"
What was it all for?	Ради чего всё это было?
I've struck gold!	Я напал на золото!
Hmph. The entrance.	Хмф. Вход.
Is that...poison?	Это...яд?
Gah, paralyzed. Or am I?	Гах, паралич. Или нет?
Bedtime, methinks.	Пора спать, сдаётся мне.
Where am I headed?	Куда я направляюсь?
Let us set forth!	В путь!
Cold front.	Холодный фронт.
Karaoke King	Король караоке
"Join in on the chorus!"	"Подпевайте припеву!"
The final song...	Последняя песня...
Let me serenade you.	Дай спеть тебе серенаду.
What about our duet?	А как же наш дуэт?
Once more, from the top...	Ещё раз, с начала...
It's our song!	Это наша песня!
Smash 'n' grab!	Хвать и беги!
Too sick...to sing...	Слишком плохо...чтобы петь...
Too numb...to sing...	Слишком немею...чтобы петь...
Let's go, go, go!	Пошли, пошли, пошли!
Lonely Heart	Одинокое сердце
"Show me how to love..."	"Покажи, как любить..."
What a shock.	Какой шок.
You wretched man!	Ты жалкий человек!
Can it be true?	Может ли это быть правдой?
Must look harder!	Надо искать лучше!
It'll cure what ails me.	Это вылечит, что мучает.
Spin the wheel!	Крути колесо!
I'm intoxicated.	Я пьян.
I'm zapped.	Меня шарахнуло.
Impassive Alchemist	Бесстрастный алхимик
"Still waters run deep."	"В тихом омуте черти водятся."
Whatever...	Да какая разница...
You look mean.	Ты злобно выглядишь.
Ah well...	Ну что ж...
Back here...	Снова тут...
That thing's a fire hazard.	Эта штука пожароопасна.
Venom!?	Яд!?
I'm getting into this.	Я втягиваюсь.
I'll save here.	Сохранюсь тут.
Failed Entertainer	Провальный артист
"What's not to like?"	"Что тут не любить?"
I died on stage...	Я умер на сцене...
I've gotta drag you out!?	Мне тебя вытаскивать!?
Let's go through this again.	Давай пройдём это снова.
I'm smiling once again!	Я снова улыбаюсь!
Who's laughing now!?	Кто теперь смеётся!?
Mana drip.	Капельница маны.
You'll love this one.	Этот номер тебе зайдёт.
Brighten up!	Посветлей!
Did I set my alarm?	Я будильник ставил?
Check position.	Проверь позицию.
Night night!	Спокойной ночи!
Plant the flag.	Воткни флаг.
F-F-Freeze!	З-з-замри!
Tropical Fruitcake	Тропический кекс
"100% natural ingredients."	"100% натуральные ингредиенты."
They squeezed me dry.	Меня выжали досуха.
Want some juice?	Хочешь соку?
Out of juice...	Сок кончился...
From the start!	С начала!
Natural light!	Естественный свет!
Poison juice!	Ядовитый сок!
My mouth's all numb!	Рот весь онемел!
Seed of Sleep!	Семя сна!
Better to be safe...	Лучше подстраховаться...
Hi-class water.	Вода высшего сорта.
Burnt bits.	Подгоревшие кусочки.
Chaos tornado!	Хаос-смерч!
Blizzard!	Метель!
Defensive wall.	Оборонительная стена.
Jumpkicking Joker	Джокер с летящим ударом
"Hi-YAAH!"	"Хай-ЯАА!"
Hi-yaaargh...	Хай-яаааргх...
You come with me!	Пошли со мной!
Bye-yah!	Пока-йя!
Do this once more...	Ещё разок...
Hi-YA!	Хай-Я!
Hi-YAAAARGH!	Хай-ЯАААРГХ!
They poison me!	Меня травят!
Too numb...to fight...	Слишком немею...чтобы биться...
I sleep now!	Теперь сплю!
Hi-Yaaa!?	Хай-Яаа!?
HI-YAAAAAH!!!	ХАЙ-ЯАААА!!!
Lilith-Fancier	Фанат Лилит
"It's perfectly normal."	"Это совершенно нормально."
Oh, sweet Lilith...	О, милая Лилит...
Does this place have elevators?	Тут есть лифты?
But why!?	Но почему!?
Graar!	Граар!
Booyah!	Буйя!
Tingly-wingly...	Покалывает-макалывает...
Pause...	Пауза...
Where do the Liliths hang out?	Где Лилиты тусуются?
Make a record.	Сделай запись.
No limits!	Без границ!
Genial Giant	Добрый великан
"I never asked for this."	"Я об этом не просил."
Darn you, Daddy...	Чтоб тебе, папаша...
Don't say a word.	Ни слова.
Give generously!	Давай щедро!
Cut and run!	Руби и беги!
Venom running through my veins.	Яд бежит по жилам.
My skin's itching.	Кожа чешется.
Where would Badman hang out?	Где бы тусовался Бэдмен?
Save my soul!	Спаси мою душу!
I can do this!	Я смогу!
Flea-Bitten Feline	Блохастый кот
"Don't ask about the ears."	"Про уши не спрашивай."
Nice to meet you all...	Приятно всех видеть...
Do I get to keep you?	Тебя мне оставят?
You were too laid back.	Ты слишком расслабился.
Is this the scenic route?	Это живописный маршрут?
Feline fine!	Котово в порядке!
Catnip!	Кошачья мята!
Tailspin!	Крутихвост!
Catnip?	Кошачья мята?
My ears are tingling.	Уши покалывают.
I'm dog-tired...	Я пёсье устал...
Where should I slink next?	Куда бы красться дальше?
Take a catnap.	Вздремнуть по-кошачьи.
Permafrost.	Вечная мерзлота.
Cat claws!	Кошачьи когти!
Bad-ass barrier.	Крутой барьер.
Cerebral Scrapper	Мозговитый драчун
"I'm always 10 steps ahead."	"Я всегда на 10 шагов впереди."
I should've known...	Надо было знать...
I flushed you out.	Я тебя выкурил.
I'll inform your mother.	Сообщу твоей маме.
Back once more.	Снова назад.
Brain drain!	Утечка мозгов!
Spinning swordplay!	Крутящийся меч!
I've contracted a hideous virus...	Подхватил жуткий вирус...
Is this some kind of wasting disease?	Это какая-то чахотка?
My brain's overheating...	Мозг перегревается...
Mustn't lose focus...	Нельзя терять фокус...
Save my  position, you hear?	Сохрани мою позицию, слышишь?
Willowy Whelp	Хилый щенок
"I OD-ed on power shakes!"	"Перебрал силовых коктейлей!"
Curse my weakness!	Проклятье моей слабости!
Who'd have thunk it!	Кто б мог подумать!
Heroing's a tough business.	Геройство — тяжёлый бизнес.
From the top...	С начала...
Power shake!	Силовой коктейль!
The wind's picking up.	Ветер крепчает.
Power torch!	Силовой факел!
Poisoned power shake!?	Отравленный силовой коктейль!?
Paralysis is the last thing I need.	Паралич мне сейчас совсем не нужен.
Hypnosis!	Гипноз!
This is a good spot.	Хорошее место.
Freeze.	Замри.
Total Primadonna	Сплошная примадонна
"Kneel before Vainessa!"	"На колени перед Тщеславной!"
How can one such as I die?	Как такой, как я, может умереть?
Him again!	Опять он!
Tough.	Жёстко.
Let's strut the catwalk once more.	Ещё раз пройдёмся по подиуму.
Mana time!	Время маны!
Almost as hot as me!	Почти так же горячо, как я!
That light's very flattering.	Этот свет мне очень к лицу.
Paralysis? Pah!	Паралич? Пф!
Where are my fans?	Где мои фанаты?
Woolly Jumper	Шерстяной прыгун
"Boing! Boing!"	"Прыг! Прыг!"
Boing! Boing! Splat...	Прыг! Прыг! Шлёп...
Boing-a-loing!	Прыг-а-лыг!
Bye-Boing!	Пока-прыг!
Bing-Boing!	Бинг-прыг!
Boing!	Прыг!
Boing! Boing! Bleurgh!!!	Прыг! Прыг! Блёургх!!!
B-B-Boing!	П-п-прыг!
Boingzzz...	Прыгззз...
Boing? Boing?	Прыг? Прыг?
Record my quest!	Запиши мой поход!
It's not a rabbit hutch!	Это не кроличья клетка!
Spawny Boy	Мальчик-головастик
"Ribbit!"	"Ква!"
Ribbit!	Ква!
Ribbit! Ribbit!	Ква! Ква!
Ribbislash!	Кваруб!
Ribbitornado!	Квасмерч!
Ribbright!	Квасвет!
Ribbleurgh!!!	Кваблёургх!!!
R-R-Ribbit!	К-к-ква!
Ribbit...	Ква...
I got this far.	Я так далеко зашёл.
It's not a dog kennel!	Это не собачья будка!
High-Brow Type	Высоколобый тип
"Your argument is risible!"	"Твой довод смешон!"
O, fickle fortune!	О, превратная фортуна!
The implications are immense.	Последствия огромны.
Take the rough with the smooth.	Прими горькое со сладким.
Once more, into the dungeon depths.	Ещё раз в глубины данжа.
High-brow hacking!	Высоколобая рубка!
Ah, sweet illumination.	Ах, сладкое озарение.
A venomous brew.	Ядовитое варево.
Which way shall I turn?	Куда мне повернуть?
Fragile Soul	Хрупкая душа
"A mysteriously-wrapped enigma."	"Загадка в таинственной обёртке."
Bash those buttons!	Жми эти кнопки!
Badman sighted!	Бэдмен замечен!
No response...	Нет ответа...
Knock knock!	Тук-тук!
Mystery massacre!	Загадочная бойня!
A breath of fresh air.	Глоток свежего воздуха.
I'm not feeling too hot.	Мне не очень хорошо.
Shutting down...	Отключаюсь...
This-a-way? That-a-way?	Сюда? Туда?
Save to memory.	Сохранить в память.
Tempting treasure.	Манящее сокровище.
Bargain Bot	Уценённый бот
"File corrupted..."	"Файл повреждён..."
Shutdown.	Отключение.
Offline...	Не на связи...
Insert another coin?	Вставить ещё монету?
Botslash!	Ботруб!
LED!	Светодиод!
Virus!?	Вирус!?
Hacked!?	Взломали!?
Sleep Mode	Спящий режим
Calculating route...	Считаю маршрут...
Make a copy!	Сделай копию!
Robo chest.	Робоящик.
Complex Character	Сложный характер
"Who am I going to be today?"	"Кем я сегодня буду?"
Don't look at me...	Не смотри на меня...
You! Move! NOW!	Ты! Двигай! СЕЙЧАС!
Meh.	Мээ.
I haven't got the patience for this.	У меня нет на это терпения.
This is going to hurt.	Это будет больно.
A spot of wind.	Чуть ветра.
They poisoned me?	Меня отравили?
They paralyzed me?	Меня парализовали?
Grumble mumble...	Ворчу-бормочу...
I really don't have the patience for this.	У меня правда нет на это терпения.
Never forget.	Никогда не забывай.
Open it if you dare!	Открой, если осмелишься!
Laser Lover	Лазерный кавалер
"I'm a state-of-the-art guy."	"Я парень последней модели."
I'll get them next time...	В следующий раз достану их...
Are you going to come quietly?	Пойдёшь спокойно?
I'll never forget you.	Я тебя никогда не забуду.
Laser-guided...	Лазерное наведение...
Orbit!	Орбита!
Solar storm!	Солнечный шторм!
Moonlight!	Лунный свет!
Space virus!	Космический вирус!
Decompression...	Разгерметизация...
I need some sleep.	Мне надо поспать.
I can't see the stars.	Звёзд не вижу.
Record for posterity.	Запиши для потомков.
Check the chest!	Проверь сундук!
Towering Intellect	Выдающийся ум
"Who stole my highlighter?"	"Кто украл мой маркер?"
A simple miscalculation...	Простой просчёт...
You should've stayed in school.	Надо было сидеть в школе.
You've gone to a better place.	Ты ушёл в лучший мир.
Must pull my socks up!	Надо подтянуть носки!
School's out!	Уроки кончились!
Storm season!	Сезон штормов!
Some light on the subject!	Свет на предмет!
Let's analyze this poison.	Давай разберём этот яд.
What are the causes of paralysis?	Каковы причины паралича?
No sleeping in class...	На уроке не спать...
Any unruly students?	Есть непослушные ученики?
Stick a flag in it.	Воткни в это флаг.
Impressive chest.	Впечатляющий сундук.
Scheming Shyster	Пронырливый аферист
"Trust me - I'm a professional."	"Доверься — я профессионал."
This is a bad investment...	Плохая инвестиция...
I cornered the Badman market.	Я скупил рынок Бэдмена.
Sign your assets over to me.	Перепиши на меня активы.
Let's restart trading.	Давай заново торговлю.
Spin like you mean it!	Крутись так, будто вкладываешься!
It's an ill wind...	Злой ветер...
Invest in light!	Инвестируй в свет!
Shortsell poison!	Продавай яд в короткую!
There's no future in paralysis.	В параличе нет будущего.
Trading's closed...	Торги закрыты...
Watch the markets...	Следи за рынком...
Savings and investments.	Сбережения и вложения.
Invest in the chest!	Инвестируй в сундук!
Legend of Old	Старая легенда
"I ain't doing this for the money."	"Я это не ради денег делаю."
Dead! Again!	Мёртв! Опять!
You terrible man!	Ты ужасный человек!
Answer me!	Ответь мне!
The entrance, if I'm not mistaken.	Вход, если не ошибаюсь.
I spun right round.	Я крутанулся вокруг.
Spin up a storm!	Навей бурю!
I lit a torch!	Я зажёг факел!
I'm all envenomed!	Я весь в яду!
I'm frozen stiff!	Я закоченел!
Out like a light!	Отключило напрочь!
Why are there no roadsigns?	Почему нет указателей?
Saved!	Сохранено!
I dropped a chest.	Я бросил сундук.
Idyllic Idol	Идиллический кумир
"100% natural ingredients"	"100% натуральные ингредиенты"
I bought the farm...	Я отбросил коньки...
Ugh! A grown-up!	Угх! Взрослый!
Farewell, loyal friend...	Прощай, верный друг...
Back I go.	Я назад.
Ah, that's the stuff!	Ах, вот это вещь!
Mind I don't singe my sideburns.	Смотри не опали бакенбарды.
Which way will I roam?	Куда я подамся?
I'm saving this!	Это сохраню!
Here comes the deep-freeze.	Вот и глубокая заморозка.
The wind's in my sails!	Ветер в парусах!
DIY Barrier!	Самодельный барьер!
Grungey Guy	Грязнуля
"Real men don't wash!"	"Настоящие мужики не моются!"
It's growing dim...	Всё тускнеет...
I'll tie you up with a reef knot.	Свяжу тебя рифовым узлом.
Didn't pan out.	Не выгорело.
Once more - with feeling!	Ещё раз — с чувством!
Let's rustle up some mana!	Давай наскрежём маны!
Let's dance 'round the volcano!	Станцуем вокруг вулкана!
That's fine torchmanship.	Вот это факельное мастерство.
Poison? Let me suck it out.	Яд? Дай высосу.
I-I-I'm motionless...	Я-я-я неподвижен...
Who brought the map?	Кто карту принёс?
Gap-Year Goon	Балбес свободного года
"This dungeon's got so commercial."	"Этот данж стал таким продажным."
How quaint...	Как мило...
I befriended a local!	Я подружился с местным!
You never saw my slide-show!	Ты не видел мои слайды!
I love exploring.	Люблю исследовать.
Feels good!	Как хорошо!
Got some weird poison down here.	Тут какой-то странный яд.
Tropical sickness!	Тропическая хворь!
It's past curfew...	Уже после отбоя...
Where's my compass?	Где мой компас?
Ha ha ha!	Ха-ха-ха!
Fearless Adventurer	Бесстрашный искатель
"That treasure won't find itself."	"Сокровище само себя не найдёт."
Lost...forever...	Потерян...навсегда...
Mr. Badman, I presume?	Мистер Бэдмен, полагаю?
Back to the entrance...	Назад ко входу...
Ah, blessed light!	Ах, благословенный свет!
My body's revolting...	Тело бунтует...
Adventurers need their rest...	Искателям нужен отдых...
This'll go with a bang!	Это бабахнет!
Reckless Apprentice	Безбашенный ученик
"This is one slipshod dungeon."	"Этот данж сшит на живую нитку."
I didn't expect that...	Этого я не ждал...
You're a bad, bad man.	Ты очень, очень плохой человек.
Don't die, Digby!	Не умирай, Дигби!
The entrance? Haven't we been here?	Вход? Мы тут уже были?
Mood lighting!	Свет для настроения!
Poison! I HATE poison!	Яд! Я НЕНАВИЖУ яд!
Is it normal to sweat like this?	Нормально ли так потеть?
Let's hit the hay.	Вали на сеновал.
There's nowhere to hide!	Прятаться негде!
Can't wait to see this!	Не могу дождаться, чтобы увидеть!
General Dogsbody	Генерал на побегушках
"Anyone order deep-pan pepperoni?"	"Кто заказывал толстую с колбасой?"
Here I fall...	Здесь я падаю...
Did you order a pizza?	Вы пиццу заказывали?
Rather you than me...	Лучше ты, чем я...
I'll never deliver this in time.	Никогда не доставлю вовремя.
TWO-FOR-ONE DEAL!!!	ДВЕ ПО ЦЕНЕ ОДНОЙ!!!
I'll slice you up!	Я тебя нашинкую!
Poisoned pizza!	Отравленная пицца!
My body won't obey me...	Тело меня не слушается...
I shouldn't sleep on the job...	На работе спать нельзя...
Where was that address?	Где был тот адрес?
Ninja Bigshot	Ниндзя-шишка
"Prattori! Get over here!"	"Праттори! Иди сюда!"
...Prattori!!!	...Праттори!!!
Grab your coat...	Хватай пальто...
What did you die for?	За что ты умер?
Once more.	Ещё раз.
Darn you, Prattori!	Чтоб тебе, Праттори!
Blade of justice!	Клинок справедливости!
Light at last.	Наконец свет.
I'm getting sleepy...	Меня клонит в сон...
Anger Mis-Manager	Неменеджер гнева
"WHAT DID YOU SAY!?"	"ЧТО ТЫ СКАЗАЛ!?"
I'm too angry to die...	Я слишком зол, чтобы умереть...
This can't be true.	Этого не может быть.
Not again!	Опять нет!
Now I can see.	Теперь вижу.
My limbs are frozen!	Конечности ледяные!
Which way?	Куда?
Ho ho ho!	Хо-хо-хо!
How is it?	Ну как?
